age,income,loan_amount,loan_term,credit_score,debt_to_income,employment_years,risk_flag
35,88500,183000,6,725,0.36,7,0
29,54500,96000,4,640,0.65,3,1
49,142500,405000,19,765,0.32,20,0
23,33500,103000,6,590,0.74,1,1
40,107000,265000,11,700,0.43,10,0
37,95500,198000,5,750,0.33,7,0
26,45500,94000,3,620,0.70,2,1
52,147000,425000,21,780,0.28,19,0
21,29500,87000,4,570,0.79,0,1
45,121000,325000,11,675,0.46,14,1
34,85500,180000,7,705,0.40,5,0
31,56500,107000,5,655,0.62,4,1
48,141000,408000,17,755,0.35,21,0
25,36500,106000,4,610,0.73,1,1
39,103000,245000,10,720,0.41,8,0
36,92500,186000,8,735,0.35,6,0
27,48500,89000,3,625,0.75,1,1
54,158000,445000,24,785,0.26,23,0
20,28500,82000,5,560,0.81,0,1
43,114000,305000,12,685,0.48,12,1
33,83500,176000,6,710,0.39,5,0
30,55500,101000,5,645,0.64,3,1
47,136000,392000,16,745,0.36,18,0
24,35500,110000,5,600,0.75,1,1
42,111000,285000,11,675,0.45,9,1
35,90000,184000,7,730,0.36,6,0
28,49500,86000,4,635,0.67,2,1
51,144000,415000,20,775,0.30,19,0
22,31500,92000,6,575,0.78,0,1
46,126000,350000,13,740,0.40,15,0
36,94500,194000,8,745,0.34,7,0
29,52500,97000,4,638,0.66,3,1
49,139500,398000,18,760,0.33,21,0
23,34500,104000,6,595,0.76,1,1
38,102000,260000,10,710,0.42,8,0
37,96500,202000,5,755,0.32,7,0
26,46500,91500,3,615,0.71,2,1
53,151000,435000,22,785,0.27,22,0
19,27500,79000,4,550,0.83,0,1
44,115000,315000,12,688,0.49,13,1
33,82500,174000,6,700,0.41,5,0
31,57500,109000,5,665,0.59,4,1
47,137000,390000,16,750,0.37,19,0
25,37500,107000,4,618,0.72,1,1
40,106000,270000,11,695,0.44,10,0
35,89500,181000,7,720,0.38,6,0
27,47500,88000,3,620,0.76,1,1
55,162000,455000,28,795,0.24,27,0
20,29500,84000,5,565,0.80,0,1
45,119000,322000,10,670,0.50,14,1
34,86500,179000,7,695,0.42,5,0
30,54500,100000,5,640,0.65,3,1
48,140000,400000,17,752,0.36,20,0
24,36500,111000,5,605,0.74,1,1
41,108500,278000,12,690,0.46,9,1
36,91500,187000,8,740,0.35,6,0
28,50500,84000,4,628,0.69,2,1
50,136000,382000,15,772,0.31,18,0
22,32500,89000,5,578,0.77,0,1
46,124000,348000,14,738,0.41,15,0
35,87500,182000,6,715,0.39,7,0
29,53500,95000,4,632,0.68,3,1
49,141000,402000,19,762,0.34,20,0
23,33500,102000,6,592,0.75,1,1
39,101000,255000,10,715,0.43,8,0
37,94500,196000,5,745,0.34,7,0
26,44500,92500,3,618,0.72,2,1
52,146000,428000,21,782,0.29,19,0
21,30500,86000,4,572,0.80,0,1
43,113000,308000,12,682,0.50,12,1
33,81500,172000,6,695,0.43,5,0
31,58500,108000,5,670,0.58,4,1
47,134000,388000,16,743,0.38,18,0
25,38500,105000,4,612,0.73,1,1
38,104000,265000,11,705,0.45,8,0
36,90500,183000,7,725,0.37,6,0
27,49500,86500,3,622,0.77,1,1
54,156000,442000,23,780,0.28,24,0
19,26500,77000,4,545,0.84,0,1
44,112000,312000,12,678,0.51,13,1
33,80500,170000,6,688,0.44,5,0
30,53500,99000,5,635,0.66,3,1
48,138000,395000,17,748,0.37,21,0
24,35500,109000,5,598,0.76,1,1
42,110000,282000,11,672,0.47,9,1
35,88500,180000,7,710,0.40,6,0
28,51500,82000,4,625,0.70,2,1
51,143000,412000,20,768,0.32,19,0
22,31500,91000,6,572,0.79,0,1
46,123000,345000,13,735,0.42,15,0
36,93500,191000,8,742,0.36,7,0
29,52500,96000,4,630,0.69,3,1
49,140500,399000,18,758,0.35,21,0
23,34500,103000,6,588,0.77,1,1
40,105000,268000,11,692,0.48,10,0
37,95500,197000,5,750,0.35,7,0
26,45500,93500,3,612,0.73,2,1
53,150000,432000,22,778,0.30,22,0
19,28500,81000,5,558,0.82,0,1
45,117000,318000,10,665,0.52,14,1
34,85500,177000,7,690,0.43,5,0
31,59500,112000,5,680,0.57,4,1
47,135000,385000,16,740,0.39,19,0
25,39500,104000,4,605,0.74,1,1
39,100000,252000,10,708,0.46,8,0
35,89500,182000,7,718,0.41,6,0
27,50500,85000,3,615,0.78,1,1
55,160000,450000,26,790,0.26,25,0
20,30500,83000,5,560,0.81,0,1
43,111000,302000,12,675,0.53,12,1
33,79500,168000,6,680,0.45,5,0
30,52500,98000,5,630,0.67,3,1
48,139000,398000,17,745,0.40,20,0
24,37500,108000,5,592,0.78,1,1
41,107000,275000,12,682,0.49,9,1
36,92500,185000,8,737,0.38,6,0
28,52500,83000,4,620,0.71,2,1
50,135000,378000,15,765,0.33,18,0
22,33500,86000,5,565,0.80,0,1
46,125000,352000,14,732,0.43,15,0
35,86500,178000,6,705,0.42,7,0
29,51500,94000,4,625,0.70,3,1
49,142000,401000,19,755,0.36,21,0
23,35500,101000,6,582,0.79,1,1
38,103000,258000,11,700,0.47,8,0
37,97500,199000,5,760,0.33,7,0
26,47500,90500,3,608,0.74,2,1
52,145500,422000,21,776,0.31,19,0
21,29500,84000,4,555,0.83,0,1
44,114000,310000,12,672,0.54,13,1
33,78500,166000,6,675,0.46,5,0
31,60500,115000,5,690,0.56,4,1
47,133000,380000,16,735,0.41,18,0
25,40500,102000,4,600,0.75,1,1
40,104000,262000,11,685,0.50,10,0
35,88500,179000,7,705,0.43,6,0
27,51500,82000,3,610,0.79,1,1
54,154000,438000,24,775,0.29,23,0
19,27500,78000,4,540,0.85,0,1
